word_english,sample_size,set_size,set_size_singles,frequency_KF,concrete_M,homograph,pos,Mean_Connectivity,Connectivity_Strength,Resonance_Probability,Resonance_Strength,Accessibility_Index,Non-Responses,Ending_Stem_Set_Size__,Ending_Stem_Strength,Beginning_Stem_Set_Size,Beginning_Stem_Strength,Ending_Fragment_Cue,Ending_Fragment_Set_size,Ending_Fragment_Strength,Beginning_Fragment_Cue,Beginning_Cue_Set_Size,Beginning_Cue_Strength
reply,145,6,18,42,3.08,,V,2.33,2.980,0.33,1.110,6,0.02,,,12,0.00,,,,,,
report,198,23,68,174,5.67,G,N,2.04,3.560,0.17,1.070,10,0.02,,,,,,,,,,
repress,182,18,62,1,3.37,,V,,,,,2,0.14,,,,,,,,,,
reprimand,148,7,35,2,2.49,,V,0.83,1.190,0.33,1.140,5,0.03,,,17,0.02,,,,,,
reproduce,147,22,45,7,,,V,,,,,4,0.01,,,,,,,,,,
reptile,148,8,14,0,6.65,,N,1.50,1.580,0.63,1.300,6,0.01,,,17,0.00,,,,,,
republic,148,17,39,43,,,N,2.13,3.800,0.20,1.110,3,0.03,,,,,,,,,,
republican,150,9,30,54,,,AJ,0.29,0.930,0.29,1.560,6,0.01,,,,,,,,,,
repulsive,143,13,49,4,3.28,,AJ,,,,,0,0.08,,,,,,,,,,
request,146,14,36,49,,,V,1.71,4.390,0.14,1.040,5,0.01,20,0.01,12,0.00,,,,,,
rescue,147,12,41,15,,,V,,,,,3,0.01,,,,,,,,,,
research,143,16,47,171,3.22,,N,1.93,2.460,0.20,1.060,14,0.06,6,0.00,,,,,,,,
reservation,148,16,38,8,,T,N,0.73,2.150,0.07,1.020,2,0.01,,,,,,,,,,
reserve,148,16,57,37,,T,V,0.86,2.030,0.00,1.000,0,0.02,,,,,,,,,,
resistance,196,29,85,48,3.21,,N,1.57,2.540,0.00,1.000,0,0.07,,,,,,,,,,
resort,148,11,34,12,4.70,T,V,,,,,2,0.01,19,0.01,,,,,,,,
respect,197,26,58,125,2.33,,V,2.42,6.690,0.25,1.320,16,0.07,,,,,--SPECT,3,0.41,RES----,14,0.05
respiration,153,9,26,2,,,N,,,,,3,0.02,,,,,,,,,,
respond,153,18,45,21,,,V,,,,,4,0.01,,,,,,,,RES----,14,0.08
response,145,12,41,77,3.00,,N,1.67,4.670,0.25,1.190,8,0.04,,,16,0.00,,,,,,
responsibility,139,22,62,118,,,N,1.41,4.500,0.09,1.070,7,0.01,9,0.00,12,0.00,,,,,,
responsible,144,17,60,71,,,AJ,,,,,5,0.02,,,12,0.00,,,,,,
rest,198,13,27,163,3.48,N,N,2.31,4.510,0.31,1.240,28,0.02,20,0.08,17,0.15,-EST,8,0.07,RE--,11,0.05
restaurant,135,12,27,41,6.83,,N,2.25,4.910,0.33,1.420,23,0.05,,,17,0.00,,,,,,
restore,178,28,63,9,2.71,,V,,,,,0,0.04,,,,,,,,RES----,14,0.06
restriction,134,14,56,8,,,N,,,,,10,0.02,,,12,0.00,,,,,,
restroom,152,19,41,1,,,N,,,,,4,0.01,,,,,,,,,,
result,136,17,38,244,3.18,,V,1.75,3.610,0.19,1.450,9,0.03,,,12,0.00,,,,,,
resuscitation,79,9,27,0,3.05,,N,,,,,0,0.13,,,,,,,,,,
retain,180,16,32,11,2.97,,V,3.12,5.880,0.13,1.030,3,0.02,,,,,,,,,,
retarded,151,17,47,7,,,AJ,,,,,3,0.01,,,,,,,,,,
retreat,180,27,63,14,3.46,G,V,1.91,4.510,0.09,1.040,2,0.06,,,,,,,,,,
return,146,23,50,180,,G,V,,,,,14,0.04,,,12,0.00,,,,,,
revenge,148,21,51,7,2.78,,V,,,,,0,0.05,,,16,0.00,,,,,,
review,151,16,47,56,,,V,,,,,7,0.03,,,,,,,,,,
revival,128,21,43,8,3.10,,N,,,,,0,0.00,,,,,,,,,,
revolution,146,14,46,70,,,N,0.60,1.120,0.00,1.000,0,0.01,,,,,,,,,,
reward,136,20,42,15,4.08,,N,1.79,3.860,0.42,1.310,15,0.04,,,12,0.00,,,,,,
rhyme,145,17,30,3,,,N,1.21,2.410,0.57,1.730,10,0.00,12,0.23,9,0.00,,,,,,
rhythm,195,13,34,22,4.08,,N,1.18,2.080,0.27,1.220,3,0.01,,,,,,,,,,
rib,148,22,51,1,5.86,N,N,2.35,4.080,0.05,1.040,1,0.02,11,0.12,,,,,,,,
ribbon,132,14,28,12,6.30,,N,1.36,1.960,0.29,1.150,9,0.01,,,16,0.00,,,,,,
ribs,146,23,50,11,5.86,,N,,,,,6,0.01,,,,,,,,,,
rice,146,19,42,33,6.04,,N,,,,,11,0.02,15,0.11,9,0.02,-ICE,5,0.20,RI--,12,0.24
rich,148,7,18,74,3.63,T,AJ,1.14,1.540,0.86,1.970,68,0.01,13,0.02,16,0.05,--CH,8,0.01,RI--,12,0.06
riddle,154,11,36,1,3.95,N,N,1.20,2.440,0.20,1.050,3,0.01,7,0.10,,,_IDDLE,4,0.36,,,
ride,145,14,38,49,4.14,,V,1.50,3.860,0.33,1.550,40,0.02,25,0.11,9,0.58,-IDE,6,0.24,RI--,12,0.17
rider,145,12,38,16,5.55,,N,1.42,3.650,0.25,1.050,4,0.03,,,,,,,,,,
ridicule,149,18,49,5,3.02,,V,1.38,2.280,0.15,1.040,7,0.11,,,,,,,,,,
ridiculous,148,13,46,19,1.92,,AJ,2.67,5.260,0.08,1.270,2,0.03,,,,,,,,,,
rifle,145,10,30,63,6.04,,N,2.80,4.810,0.30,1.090,6,0.01,4,0.20,,,,,,,,
right,148,3,15,613,3.53,N,AJ,0.33,1.470,1.00,2.900,47,0.00,19,0.02,9,0.02,---HT,9,0.19,,,
righteous,152,15,65,5,,,AJ,,,,,2,0.15,,,,,,,,,,
righteousness,147,24,75,6,2.09,,N,2.33,5.070,0.00,1.000,3,0.14,,,,,,,,,,
rights,131,15,36,77,,,N,,,,,10,0.05,,,9,0.00,,,,,,
rigid,152,11,44,24,4.07,,AJ,1.80,3.730,0.20,1.040,5,0.02,,,16,0.01,,,,,,
rim,150,20,33,5,5.07,G,N,1.79,3.990,0.11,1.050,3,0.04,17,0.04,,,-IM,7,0.14,,,
ring,149,13,28,47,5.88,N,N,1.15,2.980,0.85,2.670,56,0.03,25,0.10,16,0.01,-ING,7,0.24,RI--,12,0.06
rinse,144,10,26,6,4.00,,V,2.50,3.700,0.00,1.000,2,0.01,,,16,0.00,,,,,,
riot,126,20,59,7,4.31,G,N,,,,,8,0.02,,,9,0.01,,,,RI--,12,0.14
rip,152,9,32,6,,,V,0.33,1.150,0.22,1.320,11,0.01,20,0.01,16,0.32,-IP,8,0.04,R--,20,0.01
rise,144,10,29,102,3.64,,V,1.40,2.930,0.20,1.030,14,0.01,31,0.06,9,0.10,-ISE,3,0.31,RI--,12,0.08
risk,145,13,44,54,2.70,,N,1.15,1.240,0.23,1.150,10,0.03,8,0.24,16,0.03,--SK,8,0.17,RI--,12,0.01
ritual,140,19,37,27,4.70,,N,,,,,4,0.04,,,16,0.01,,,,,,
river,127,20,46,165,5.83,,N,2.29,4.790,0.35,2.000,30,0.00,7,0.11,16,0.02,-IVER,14,0.05,R-V--,6,0.29
roach,142,17,37,2,6.42,G,N,2.07,3.920,0.43,1.360,9,0.03,6,0.40,,,-OACH,3,0.24,,,
road,198,24,50,197,5.48,N,N,1.77,3.980,0.64,3.290,65,0.02,19,0.09,,,--AD,10,0.02,RO--,16,0.11
roam,146,15,51,6,,,V,0.71,2.220,0.21,1.150,4,0.04,10,0.02,,,,,,RO--,16,0.01
roar,153,11,27,13,,,V,2.36,4.640,0.18,1.050,3,0.01,28,0.00,,,,,,RO--,16,0.03
roast,160,16,31,10,5.02,,N,2.62,4.150,0.13,1.140,8,0.01,8,0.05,,,-OAST,4,0.14,,,
rob,148,9,25,19,3.29,,V,0.38,1.330,0.13,1.070,6,0.03,16,0.06,,,-OB,7,0.07,RO-,4,0.27
robber,144,16,32,2,6.25,,N,2.81,3.980,0.38,1.540,12,0.03,,,9,0.00,,,,RO---R,6,0.24
robbery,148,16,39,10,4.75,,N,3.93,5.410,0.33,1.330,6,0.00,,,,,,,,,,
robe,127,18,40,6,5.74,,N,2.67,3.580,0.27,1.160,9,0.03,6,0.11,,,--BE,6,0.42,RO--,16,0.01
robin,147,6,19,2,6.32,,N,0.40,1.570,0.40,1.080,6,0.07,,,,,,,,,,
robot,150,15,41,1,,,N,,,,,2,0.05,,,,,,,,,,
rock,156,13,41,75,6.03,N,N,0.46,1.330,0.54,2.850,64,0.00,15,0.02,9,0.03,,,,RO--,16,0.05
rocket,144,18,37,7,6.22,G,N,2.25,4.050,0.31,1.410,7,0.01,,,9,0.01,---KET,11,0.03,,,
rocks,150,20,45,23,6.03,G,N,,,,,5,0.01,14,0.04,,,,,,,,
rod,179,15,33,18,6.15,,N,0.93,2.350,0.50,1.760,11,0.06,12,0.06,9,1.00,-OD,7,0.11,RO-,6,0.25
rodent,151,5,16,3,5.76,,N,1.80,2.260,0.60,1.270,8,0.04,,,,,,,,,,
rodeo,149,8,28,1,,,N,1.14,2.300,0.14,1.010,2,0.01,,,,,,,,,,
roll,145,20,58,35,4.30,N,N,0.65,2.500,0.30,1.630,30,0.06,19,0.01,,,,,,RO--,16,0.15
roman,149,9,40,58,,,N,,,,,5,0.01,,,,,,,,,,
romance,145,9,30,13,2.75,,N,1.33,2.320,0.00,1.000,17,0.00,10,0.00,,,---ANCE,7,0.05,ROM----,5,0.19
romantic,149,19,51,32,,,AJ,1.18,2.390,0.06,1.010,6,0.02,7,0.02,,,---ANTIC,3,0.08,ROM-----,5,0.27
roof,127,9,20,59,5.82,,N,0.89,2.210,0.67,2.120,15,0.01,7,0.21,8,0.01,-OOF,4,0.40,RO--,16,0.01
room,127,22,45,383,5.37,N,N,2.05,4.910,0.57,1.770,79,0.01,17,0.26,8,0.07,-OOM,5,0.22,RO--,16,0.18
roommate,147,19,60,1,,,N,1.17,2.160,0.06,1.020,6,0.01,,,,,,,,,,
roost,156,10,28,1,3.75,,N,1.60,4.180,0.10,1.010,1,0.22,,,,,--OST,4,0.03,,,
rooster,97,7,16,3,6.20,,N,0.83,1.390,0.50,1.230,5,0.03,,,,,,,,,,
root,139,10,32,30,5.54,N,N,0.70,1.380,0.20,1.070,8,0.00,11,0.05,8,0.00,-OOT,7,0.13,RO--,16,0.05
rope,178,21,36,15,6.36,G,N,1.05,2.480,0.58,2.310,30,0.19,11,0.02,,,-OPE,6,0.10,RO--,16,0.06
rose,146,10,21,86,5.86,N,N,0.78,2.040,0.56,1.870,24,0.01,22,0.07,,,-OSE,6,0.05,RO--,16,0.06
roses,147,16,30,7,5.86,,N,0.85,2.070,0.08,1.180,5,0.01,,,,,,,,,,
rot,155,23,46,8,3.54,,N,2.23,4.140,0.23,1.670,5,0.04,8,0.00,9,0.01,-OT,9,0.03,RO-,6,0.20
rotten,143,13,48,2,4.31,,AJ,1.42,2.160,0.33,1.550,9,0.03,5,0.09,9,0.01,---TEN,11,0.15,,,
rouge,150,8,32,7,,,N,1.29,1.680,0.14,1.010,2,0.05,,,,,,,,,,
rough,145,17,45,41,4.48,G,AJ,1.85,3.110,0.39,2.280,32,0.04,20,0.10,10,0.46,-OUGH,4,0.26,ROU--,5,0.41
round,127,7,22,81,4.34,T,AJ,0.43,1.980,0.57,1.490,45,0.01,9,0.03,,,-OUND,7,0.19,ROU--,5,0.78
routine,206,27,69,35,2.39,,N,2.28,4.780,0.24,1.220,9,0.01,,,,,,,,,,
row,184,9,25,35,4.77,N,N,0.25,1.640,0.38,1.290,8,0.01,35,0.01,,,-OW,11,0.01,RO-,6,0.30
royal,146,17,39,48,3.20,,AJ,1.20,5.170,0.07,1.030,3,0.01,10,0.02,,,,,,,,
royalty,148,11,30,7,,,N,1.60,4.140,0.40,1.080,7,0.02,33,0.00,,,,,,,,
rub,152,23,71,6,,,V,1.40,3.010,0.15,1.190,13,0.05,13,0.06,10,0.04,-UB,7,0.14,,,
rubber,148,20,39,15,6.04,T,N,0.39,2.390,0.28,1.200,17,0.03,,,10,0.02,,,,,,
rubric,79,2,14,1,3.46,,N,,,,,0,0.78,,,,,,,,,,
ruby,144,10,23,1,5.75,,N,3.30,3.910,0.40,1.250,6,0.07,,,,,,,,,,
rude,135,20,40,6,2.95,,AJ,2.47,4.930,0.26,1.710,46,0.07,16,0.10,8,0.21,,,,R-D-,5,0.15
rug,156,12,25,13,6.12,,N,0.92,1.790,0.42,1.540,13,0.01,16,0.04,10,0.01,-UG,9,0.07,R--,20,0.03
ruin,145,12,50,14,3.08,,N,1.50,1.730,0.33,1.260,12,0.03,,,8,0.01,--IN,12,0.02,,,
rule,140,21,52,73,2.79,G,N,1.53,2.360,0.26,1.510,28,0.08,10,0.02,8,0.07,,,,,,
ruler,135,16,29,3,6.37,N,N,1.19,3.560,0.31,1.500,25,0.02,,,8,0.01,,,,,,
rules,146,12,40,85,,,N,0.36,1.000,0.27,1.710,22,0.03,,,8,0.00,,,,,,
rum,143,10,17,3,5.96,,N,5.00,4.940,0.44,1.160,8,0.01,18,0.04,10,0.03,-UM,7,0.12,,,
rummy,148,10,29,1,,,N,,,,,2,0.10,,,,,,,,,,
rumor,144,16,41,8,3.23,,N,1.00,2.200,0.08,1.050,2,0.01,,,8,0.01,,,,,,
run,150,10,33,212,4.51,,V,1.00,1.660,0.80,2.840,87,0.03,16,0.04,10,0.19,-UN,7,0.25,R--,20,0.18
rung,150,12,33,3,,,N,0.58,2.960,0.08,1.050,1,0.06,13,0.04,,,,,,,,
runner,153,27,50,1,,N,N,,,,,9,0.01,,,,,--NNER,8,0.05,,,
running,154,17,37,123,4.40,G,N,,,,,4,0.03,,,,,,,,,,
rural,146,16,41,54,3.54,,AJ,,,,,1,0.02,,,,,,,,,,
rush,145,11,22,20,3.46,,V,2.27,4.660,0.18,1.300,8,0.19,11,0.19,10,0.02,-USH,7,0.46,,,
russia,149,17,51,72,,,N,,,,,10,0.02,,,,,,,,,,
rust,152,17,42,10,,G,N,1.06,2.520,0.00,1.000,5,0.07,14,0.04,10,0.02,-UST,7,0.08,,,
rustle,79,8,21,4,3.58,G,V,,,,,0,0.28,6,0.01,,,,,,,,
rye,148,2,19,4,,,N,1.00,1.080,0.50,1.020,2,0.03,25,0.02,9,0.20,,,,R--,20,0.02
saber,156,8,21,1,4.61,,N,1.00,1.590,0.13,1.080,1,0.14,3,0.05,,,,,,,,
sack,198,9,42,8,5.70,N,N,0.44,1.040,0.33,1.180,5,0.02,25,0.06,,,-ACK,8,0.15,,,
sacred,132,21,60,38,,,AJ,2.16,3.770,0.11,1.080,6,0.03,,,,,,,,,,
sad,156,7,22,35,3.52,,AJ,1.14,2.090,1.00,3.270,100,0.00,15,0.12,,,-AD,8,0.14,S--,15,0.24
saddle,149,4,14,25,6.20,G,N,0.50,1.550,0.25,1.100,4,0.01,4,0.18,,,,,,,,
safari,153,15,34,2,,,N,1.77,2.260,0.23,1.040,4,0.01,,,,,,,,,,
safe,141,21,44,58,3.72,G,AJ,1.40,3.030,0.30,1.590,31,0.02,,,,,,,,S---,33,0.01
safety,140,19,36,48,4.27,G,N,1.18,2.170,0.29,1.430,13,0.02,,,,,,,,,,
sage,147,14,52,2,,C,N,1.42,2.310,0.17,1.030,2,0.16,9,0.24,,,-AGE,5,0.16,,,
sail,151,7,27,12,5.55,,N,1.71,2.010,0.14,1.130,8,0.01,28,0.02,,,--IL,17,0.08,S---,33,0.08
sailing,142,11,25,20,4.88,,N,2.91,5.470,0.18,1.040,5,0.01,,,,,----ING,55,0.08,,,
sailor,198,14,34,5,6.13,,N,1.86,4.030,0.07,1.020,8,0.05,,,,,,,,,,
saint,162,24,54,16,4.47,,N,,,,,11,0.00,6,0.09,,,-AINT,4,0.19,,,
salad,127,15,28,9,6.83,,N,1.73,3.390,0.47,1.930,33,0.00,,,,,,,,S---D,15,0.04
salary,184,11,31,43,5.23,,N,1.36,4.830,0.18,1.250,6,0.04,,,,,--LARY,2,0.22,SAL---,8,0.13
sale,145,17,42,44,3.60,,N,3.25,5.550,0.44,1.460,25,0.02,28,0.02,,,,,,,,
sales,147,26,59,2,3.60,,N,,,,,5,0.02,,,,,,,,,,
salesman,150,28,58,12,,,N,1.52,3.960,0.08,1.080,6,0.02,,,,,,,,,,
saliva,126,10,25,4,5.78,,N,,,,,1,0.02,,,,,,,,SAL---,8,0.06
salmon,126,6,22,3,6.24,,N,0.67,2.020,0.33,1.170,3,0.01,,,,,,,,SAL---,8,0.16
saloon,140,7,14,20,6.43,,N,1.43,2.690,0.00,1.000,1,0.01,,,,,,,,SAL---,8,0.02
salt,127,7,20,46,5.69,,N,1.14,1.570,0.71,1.960,36,0.00,7,0.04,5,0.04,,,,,,
saltine,146,3,12,0,6.40,,N,0.33,1.000,0.33,1.110,2,0.03,19,0.00,13,0.00,,,,,,
salute,144,15,40,3,5.00,,V,1.85,2.420,0.23,1.070,6,0.01,11,0.00,,,,,,SAL---,8,0.08
same,148,8,28,686,2.44,,AJ,2.12,2.180,0.88,3.120,48,0.02,15,0.14,,,,,,S---,33,0.05
sample,147,16,43,57,,,N,0.88,1.840,0.13,1.230,6,0.01,,,,,,,,,,
sand,127,8,25,28,6.25,,N,0.88,1.880,0.75,2.330,35,0.00,13,0.20,,,,,,S---,33,0.03
sandals,148,11,23,5,6.05,,N,1.20,3.800,0.10,1.030,2,0.01,,,,,,,,,,
sandpaper,140,11,27,1,,,N,1.10,2.010,0.10,1.040,1,0.03,,,,,,,,,,
sandwich,133,18,29,10,6.37,,N,2.72,4.630,0.56,1.820,25,0.04,,,,,,,,,,
santa,152,7,29,28,,,N,,,,,8,0.01,,,,,,,,,,
sap,148,5,27,1,,N,N,1.40,2.400,0.00,1.000,2,0.06,20,0.14,,,-AP,10,0.10,,,
sapphire,148,12,23,0,6.00,,N,3.36,5.200,0.09,1.010,1,0.01,,,,,,,,,,
sardine,126,11,25,2,5.93,,N,1.30,2.600,0.00,1.000,0,0.01,,,,,,,,,,
sash,148,19,58,3,5.36,T,N,1.32,1.780,0.00,1.000,0,0.11,18,0.06,,,,,,,,
satan,152,12,41,3,,,N,1.70,2.230,0.30,1.180,7,0.01,,,,,,,,,,
satin,138,9,27,5,5.90,,N,1.62,1.590,0.38,1.240,5,0.01,,,,,,,,,,
saturn,153,11,22,3,,,N,,,,,8,0.00,,,,,,,,,,
sauce,139,15,30,20,6.76,,N,1.42,1.960,0.42,1.480,16,0.01,10,0.01,13,0.01,,,,S-U--,20,0.02
saucer,165,11,17,2,6.02,,N,1.90,3.230,0.40,1.480,5,0.00,,,,,,,,,,
sausage,152,25,50,1,,,N,2.71,6.840,0.24,1.150,5,0.03,,,13,0.01,----AGE,25,0.03,,,
save,180,17,52,62,3.07,G,V,1.07,3.890,0.53,1.750,29,0.04,16,0.14,,,-AVE,8,0.23,,,
savior,152,13,39,6,,,N,1.62,3.100,0.31,1.120,5,0.03,,,,,,,,,,
saw,135,13,30,352,4.57,N,N,0.92,2.470,0.46,1.240,17,0.04,,,13,0.46,-AW,5,0.34,S--,15,0.08
saxophone,152,17,40,4,6.18,,N,4.56,6.020,0.38,1.260,9,0.02,,,,,,,,,,
say,146,13,28,504,,,V,1.33,2.800,0.33,1.220,24,0.01,26,0.17,,,,,,S--,15,0.05
saying,151,14,51,113,,,V,,,,,6,0.06,,,,,---ING,29,0.05,,,
scale,132,14,21,60,4.75,N,N,1.69,3.570,0.23,1.180,7,0.01,28,0.01,,,,,,SC---,18,0.02
scales,148,8,15,5,4.75,,N,0.38,1.280,0.25,1.060,4,0.00,,,,,,,,,,
scallop,152,10,25,0,5.87,T,N,3.00,3.510,0.00,1.000,1,0.04,,,,,,,,,,
scalp,138,9,14,4,6.18,,N,1.44,2.050,0.22,1.080,2,0.00,,,,,,,,,,
scalpel,148,12,26,0,,,N,2.45,3.990,0.09,1.040,2,0.01,,,,,,,,,,
scapegoat,154,21,82,1,,,N,0.88,1.610,0.06,1.030,1,0.05,,,,,,,,,,
scar,149,26,47,10,5.48,,N,2.82,6.210,0.14,1.040,6,0.02,10,0.01,,,--AR,12,0.07,SC--,8,0.18
scarce,142,18,45,6,2.93,,AJ,2.57,3.590,0.29,1.050,6,0.06,,,,,,,,,,
scarcity,148,19,55,3,,,N,2.50,2.300,0.07,1.030,2,0.05,,,,,,,,,,
scare,138,11,39,3,4.07,,V,2.00,2.310,0.27,2.270,22,0.01,25,0.01,,,,,,SC---,18,0.03
scarecrow,138,13,26,0,,,N,,,,,1,0.01,35,0.00,,,,,,,,
scared,146,12,49,21,,,V,1.18,1.170,0.46,2.260,54,0.03,,,,,,,,,,
scarf,99,17,36,4,4.07,G,N,1.50,2.680,0.00,1.000,4,0.00,,,,,,,,,,
scary,145,13,43,2,2.59,,AJ,2.73,4.480,0.55,1.590,50,0.01,,,,,,,,,,
scene,126,14,54,106,4.05,,N,0.86,1.960,0.07,1.050,5,0.01,19,0.00,,,,,,,,
scenery,150,22,49,14,,,N,1.71,3.820,0.05,1.080,3,0.03,,,,,,,,,,
scent,128,6,16,6,4.58,,N,2.67,4.100,0.67,1.210,12,0.04,14,0.00,,,,,,,,
schedule,145,15,45,36,,,N,2.00,2.370,0.77,1.510,18,0.01,,,,,,,,,,
scheme,143,15,41,33,3.05,,N,,,,,4,0.06,17,0.21,,,,,,,,
scholarship,150,13,31,36,,,N,1.45,2.730,0.09,1.060,1,0.00,,,,,,,,,,
school,196,22,52,492,5.25,T,N,3.35,4.180,0.70,2.650,183,0.00,10,0.29,,,,,,,,
science,126,18,48,131,4.14,,N,1.72,2.530,0.67,1.920,81,0.02,8,0.11,,,,,,,,
scientific,149,25,53,86,,,AJ,3.57,5.440,0.05,1.070,1,0.02,,,,,,,,,,
scientist,139,17,43,17,6.48,,N,2.18,4.990,0.24,1.090,15,0.01,16,0.00,14,0.00,,,,,,
scissors,165,4,13,1,5.92,G,N,1.50,1.510,0.25,1.030,7,0.01,,,,,,,,,,
scold,147,13,30,2,2.95,,V,1.55,3.470,0.18,1.220,6,0.07,11,0.11,,,,,,SC---,18,0.05
scoop,148,13,31,5,,T,N,1.00,2.080,0.00,1.000,0,0.03,17,0.02,,,,,,SC---,18,0.09
score,138,18,38,66,3.78,G,N,1.33,3.130,0.28,1.230,10,0.00,28,0.02,,,--ORE,9,0.12,SC---,18,0.12
scotch,148,14,27,5,5.71,,N,4.36,5.940,0.29,1.140,5,0.03,,,,,,,,,,
scout,148,10,25,8,5.68,,N,0.30,2.330,0.20,1.100,6,0.02,19,0.03,,,,,,SC---,18,0.07
scramble,148,11,35,2,3.35,,V,0.44,1.120,0.11,1.170,2,0.02,,,,,,,,,,
scrambled,153,9,23,9,,,V,0.43,1.100,0.14,1.010,1,0.01,,,,,,,,,,
scrap,108,20,34,8,4.33,N,N,1.44,1.880,0.06,1.020,1,0.00,18,0.00,,,,,,SC---,18,0.05
scratch,145,13,35,9,5.31,T,V,1.67,3.210,0.42,2.030,26,0.02,,,,,,,,,,
scream,127,12,22,13,4.16,,V,2.27,4.100,0.64,1.950,22,0.00,17,0.04,,,--RE--,23,0.02,,,
screen,149,16,47,48,,,N,0.75,2.140,0.25,1.070,8,0.03,19,0.01,,,,,,,,
screw,179,14,29,21,6.42,,N,0.57,3.100,0.14,1.070,7,0.05,32,0.01,,,---EW,4,0.14,SC---,18,0.03
screwdriver,143,12,20,0,5.54,,N,2.09,4.050,0.18,1.140,4,0.04,,,,,,,,,,
scribble,152,16,31,1,,,V,,,,,4,0.01,,,,,,,,,,
scroll,146,16,52,0,4.95,,N,1.92,3.180,0.00,1.000,1,0.09,19,0.00,,,,,,,,
scrub,148,19,35,9,,T,N,2.06,3.550,0.00,1.000,3,0.02,13,0.00,,,,,,SC---,18,0.03
scuba,147,11,13,0,,,N,3.73,4.960,0.46,1.440,9,0.01,,,,,,,,,,
sculpture,145,20,46,11,6.33,,N,2.19,3.200,0.19,1.100,7,0.01,,,,,,,,,,
scum,148,23,52,0,,,N,1.67,4.340,0.14,1.060,9,0.01,18,0.02,,,,,,SC--,8,0.12
scythe,79,6,18,0,4.94,,N,,,,,1,0.44,,,,,,,,,,
sea,180,15,41,95,5.82,,N,2.14,4.280,0.36,1.460,66,0.02,33,0.02,,,-EA,4,0.11,SE-,5,0.24
seafood,147,14,32,3,6.17,,N,2.57,4.320,0.36,1.440,8,0.00,,,,,,,,,,
seagull,148,10,32,1,6.43,,N,2.00,2.780,0.22,1.030,6,0.02,9,0.10,,,,,,,,
seal,143,25,47,17,5.44,N,N,2.00,6.590,0.16,1.290,12,0.03,17,0.06,,,-E-L,12,0.05,SE--,15,0.15
seam,140,13,29,18,5.27,,N,3.38,4.370,0.23,1.070,4,0.06,17,0.08,,,-E-M,9,0.12,SE--,15,0.02
search,165,9,22,66,3.43,,V,0.89,2.520,0.22,1.050,14,0.01,6,0.03,,,,,,,,
seashore,144,12,30,5,6.28,,N,3.83,6.380,0.08,1.020,1,0.03,,,,,,,,,,
season,152,14,25,105,4.58,P,N,1.33,3.410,0.17,1.070,4,0.03,,,,,,,,,,
seasoning,148,10,22,2,5.37,,V,2.10,3.880,0.30,1.080,7,0.00,,,,,,,,,,
seat,140,10,17,54,6.79,,N,1.10,2.650,0.30,1.420,20,0.01,17,0.07,,,-E-T,24,0.07,SE--,15,0.24
seatbelt,146,11,30,0,6.53,,N,0.44,1.090,0.22,1.290,5,0.01,,,,,,,,,,
secluded,151,16,44,1,,,V,1.50,2.750,0.14,1.070,3,0.01,,,,,,,,,,
second,138,10,20,373,3.61,N,AJ,1.22,2.350,0.33,1.660,15,0.01,3,0.25,10,0.01,,,,,,
secret,140,24,51,52,,,AJ,1.00,2.150,0.43,1.640,33,0.03,,,,,,,,,,
secretary,147,21,44,191,5.58,,N,2.67,5.570,0.33,1.640,11,0.03,8,0.00,10,0.00,,,,,,
secretive,147,26,53,0,,,AJ,,,,,3,0.01,,,,,,,,,,
section,146,13,50,189,3.82,,N,1.08,1.920,0.33,1.070,14,0.03,,,,,,,,,,
secure,132,19,50,30,2.40,G,AJ,1.79,2.920,0.32,1.490,13,0.01,7,0.00,10,0.00,,,,,,
security,144,13,46,91,3.32,,N,0.91,1.740,0.18,1.170,10,0.02,,,,,,,,,,
sedative,148,10,32,1,,,N,2.25,3.750,0.00,1.000,0,0.03,,,,,,,,,,
see,180,14,32,772,3.44,,V,2.36,3.140,0.86,3.370,60,0.00,33,0.24,,,--E,24,0.16,SE-,5,0.24
seed,179,13,32,41,5.90,,N,2.25,2.820,0.33,1.140,10,0.02,26,0.09,,,-E-D,21,0.10,SE--,15,0.06
seek,99,5,12,69,3.71,,V,1.00,1.910,0.60,1.490,7,0.00,20,0.08,,,,,,SE--,15,0.06
seem,180,15,69,229,2.20,,V,,,,,1,0.10,17,0.18,,,--EM,6,0.15,SE--,15,0.02
seize,147,17,42,6,,,V,1.36,2.220,0.14,1.050,2,0.02,,,,,,,,,,
seldom,154,16,29,34,,,AD,,,,,3,0.00,,,,,,,,SEL---,3,0.22
select,133,6,26,23,,,V,1.20,1.860,0.60,1.110,6,0.02,,,10,0.00,,,,SEL---,3,0.17
selection,150,12,33,39,,,N,1.00,2.960,0.17,1.080,3,0.03,,,,,,,,,,
self,144,13,40,40,4.33,,N,1.50,2.070,0.42,1.690,23,0.04,,,10,0.00,,,,SE--,15,0.06
selfish,147,17,58,8,,,AJ,1.86,2.550,0.21,1.090,10,0.08,8,0.00,10,0.00,,,,SEL----,5,0.09
sell,180,14,38,41,3.38,,V,2.36,2.670,0.46,1.510,22,0.04,16,0.09,,,-ELL,7,0.03,SE--,15,0.20
seller,152,12,34,6,4.05,,N,1.10,1.210,0.20,1.580,4,0.01,,,,,---LER,16,0.05,SEL---,3,0.36
